,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage
0,0.0024374,1.0124303,0.0481759,0.0081651,0.0036551,65.81021881,0.0419559,0.0104708,0.0027906,65.81021881,0.0019899,0.9619807,3.241709471
1,0.0034169,0.983099,0.0522578,0.0086778,0.0032932,66.27796173,0.0525772,0.0115188,0.0030248,66.27796173,0.0027387,0.959487,3.241220951
2,0.0034582,0.9936279,0.0476382,0.0103502,0.0033041,65.88819771,0.0503932,0.0116325,0.003348,65.88819771,0.0017188,0.9723627,3.241611719
3,0.0014652,0.9791234,0.0392119,0.0065931,0.0028593,65.84923401,0.0428264,0.0100441,0.0021837,65.84923401,0.0024722,0.955463,3.241123438
4,0.0031839,0.9771959,0.0512568,0.0126929,0.0033635,66.04411087,0.0557567,0.0107987,0.0033268,66.04411087,0.0025862,0.9422214,3.241025686
5,0.0019878,0.9886914,0.0404826,0.0115368,0.003045,65.1086731,0.0478572,0.0087666,0.0033616,65.1086731,0.0026022,0.9598683,3.240830421
6,0.0019845,1.0047609,0.0469723,0.0081826,0.0032069,65.38148422,0.042225,0.0088353,0.0029453,65.38148422,0.0028113,0.9023525,3.241025686
7,0.0015766,0.9887029,0.036805,0.0076532,0.0028643,65.38148422,0.0484841,0.0097594,0.0025366,65.38148422,0.0019481,1.0031996,3.241025686
8,0.0012909,1.0192137,0.0416833,0.0063868,0.0028366,65.14764023,0.0470419,0.0101285,0.002266,65.14764023,0.0025024,0.934936,3.240830421
9,0.0019681,0.9555168,0.0437924,0.0114875,0.0031793,64.99172363,0.047875,0.014829,0.0033244,64.99172363,0.0020307,0.9412167,3.240634918
10,0.0029668,0.9930928,0.0390004,0.0105644,0.0026358,65.26458626,0.0535544,0.010307,0.0029423,65.26458626,0.0021825,0.9324629,3.240439415
11,0.002477,0.9815283,0.0420264,0.0092463,-1,64.91378937,-1,-1,0.0034178,64.91378937,-1,-1,3.240439415
12,0.0027128,1.0340404,0.0487792,0.0099573,0.0034791,64.71890564,0.0438948,0.0116926,0.0025749,64.71890564,0.003027,0.9453129,3.240341902
13,0.0026551,0.9748197,0.0438953,0.0127981,0.0033777,65.22557106,0.0480285,0.0102329,0.0034762,65.22557106,0.003358,0.9388363,3.240341902
14,0.002687,0.9671733,0.0414123,0.0086754,0.0031865,64.87482224,0.0412909,0.0090951,0.0033068,64.87482224,0.0027235,0.9457508,3.240146637
15,0.0020053,1.0037253,0.0422635,0.0080742,0.0032283,64.87482224,0.0462167,0.0094797,0.0025179,64.87482224,0.0033567,0.9991859,3.239853621
